event_id,event_type,source_user_id,target_user_id,created_at,content
evt-010,follow,u109,u207,2026-05-14 09:00:55,
evt-001,like,u100,u200,2026-05-14 09:00:01,
evt-006,share,u105,u204,2026-05-14 09:00:31,
evt-005,comment,u104,u203,2026-05-14 09:00:25,Me interesa
evt-003,follow,u102,u201,2026-05-14 09:00:15,
evt-007,follow,u106,,2026-05-14 09:00:38,
evt-002,comment,u101,u200,2026-05-14 09:00:08,Gran publicacion
evt-012,,u111,u209,2026-05-14 09:01:12,
evt-008,comment,u107,u205,fecha-invalida,Hola
evt-004,LIKE,u103,u202,2026-05-14 09:00:20,
evt-009,like,u108,u206,2026-05-14 09:00:43,
evt-009,like,u108,u206,2026-05-14 09:00:43,
evt-011,comment,u110,u208,2026-05-14 09:01:03,Buen dato
