feature,weight,abs_weight
interaction_velocity_5m,2.83666,2.83666
has_target_user,-2.304984,2.304984
has_valid_date,-1.750476,1.750476
is_duplicate,1.731324,1.731324
is_allowed_event_type,-1.576092,1.576092
event_type_invalid,1.576092,1.576092
historical_report_rate,1.274965,1.274965
day_of_week,-0.917889,0.917889
has_source_user,-0.859853,0.859853
event_type_like,-0.820593,0.820593
content_length,-0.723061,0.723061
event_type_follow,-0.451236,0.451236
hour,-0.413679,0.413679
account_age_days,0.338284,0.338284
event_type_comment,-0.244861,0.244861
