false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.03225806451612903
0.0,0.06451612903225806
0.0,0.0967741935483871
0.0,0.12903225806451613
0.0,0.16129032258064516
0.0,0.1935483870967742
0.0,0.22580645161290322
0.0,0.25806451612903225
0.0,0.2903225806451613
0.0,0.3225806451612903
0.0,0.3548387096774194
0.0,0.3870967741935484
0.0,0.41935483870967744
0.0,0.45161290322580644
0.0,0.4838709677419355
0.0,0.5161290322580645
0.0,0.5483870967741935
0.0,0.5806451612903226
0.0,0.6129032258064516
0.0,0.6451612903225806
0.0,0.6774193548387096
0.0,0.7096774193548387
0.0,0.7419354838709677
0.0,0.7741935483870968
0.0,0.8064516129032258
0.0,0.8387096774193549
0.0,0.8709677419354839
0.0,0.9032258064516129
0.0,0.9354838709677419
0.034482758620689655,0.9354838709677419
0.034482758620689655,0.967741935483871
0.06896551724137931,0.967741935483871
0.06896551724137931,1.0
0.10344827586206896,1.0
0.13793103448275862,1.0
0.1724137931034483,1.0
0.20689655172413793,1.0
0.2413793103448276,1.0
0.27586206896551724,1.0
0.3103448275862069,1.0
0.3448275862068966,1.0
0.3793103448275862,1.0
0.41379310344827586,1.0
0.4482758620689655,1.0
0.4827586206896552,1.0
0.5172413793103449,1.0
0.5517241379310345,1.0
0.5862068965517241,1.0
0.6206896551724138,1.0
0.6551724137931034,1.0
0.6896551724137931,1.0
0.7241379310344828,1.0
0.7586206896551724,1.0
0.7931034482758621,1.0
0.8275862068965517,1.0
0.8620689655172413,1.0
0.896551724137931,1.0
0.9310344827586207,1.0
0.9655172413793104,1.0
1.0,1.0
1.0,1.0
